Date,Rate
3/1/1984,10.53
4/1/1984,10.59
5/1/1984,11.29
6/1/1984,12.11
7/1/1984,12.73
8/1/1984,12.13
9/1/1984,12.02
10/1/1984,11.42
11/1/1984,10.5
12/1/1984,9.84
1/1/1985,9.5
2/1/1985,11.27
3/1/1985,10.4
4/1/1985,9.77
5/1/1985,9.51
6/1/1985,9.33
7/1/1985,9.06
8/1/1985,8.95
9/1/1985,8.75
10/1/1985,8.53
11/1/1985,8.85
12/1/1985,9.24
1/1/1986,10.55
2/1/1986,11.55
3/1/1986,10.19
4/1/1986,8.72
5/1/1986,8.33
6/1/1986,8.59
7/1/1986,8.26
8/1/1986,8.33
9/1/1986,8.35
10/1/1986,8.3
11/1/1986,8.24
12/1/1986,8.24
1/1/1987,7.24
2/1/1987,7.28
3/1/1987,6.8
4/1/1987,8.08
5/1/1987,8.19
6/1/1987,8.29
7/1/1987,8.97
8/1/1987,8.99
9/1/1987,9.35
10/1/1987,7.84
11/1/1987,8.31
12/1/1987,8.41
1/1/1988,8.37
2/1/1988,8.32
3/1/1988,8.53
4/1/1988,8.87
5/1/1988,8.92
6/1/1988,9.19
7/1/1988,9.29
8/1/1988,9.98
9/1/1988,10.33
10/1/1988,10.29
11/1/1988,10.76
12/1/1988,10.94
1/1/1989,11.18
2/1/1989,11.61
3/1/1989,12.14
4/1/1989,12.37
5/1/1989,12.17
6/1/1989,12.08
7/1/1989,12.11
8/1/1989,12.16
9/1/1989,12.23
10/1/1989,12.17
11/1/1989,12.21
12/1/1989,12.22
1/1/1990,12.34
2/1/1990,13.16
3/1/1990,13.26
4/1/1990,13.55
5/1/1990,13.67
6/1/1990,13.58
7/1/1990,13.23
8/1/1990,12.67
9/1/1990,12.4
10/1/1990,12.36
11/1/1990,12.01
12/1/1990,11.47
1/1/1991,10.48
2/1/1991,9.72
3/1/1991,9.67
4/1/1991,9.24
5/1/1991,8.81
6/1/1991,8.65
7/1/1991,8.66
8/1/1991,8.53
9/1/1991,8.34
10/1/1991,7.79
11/1/1991,7.41
12/1/1991,7.42
1/1/1992,7.04
2/1/1992,7.25
3/1/1992,7.24
4/1/1992,6.72
5/1/1992,6.08
6/1/1992,5.6
7/1/1992,5.17
8/1/1992,4.82
9/1/1992,7.37
10/1/1992,6.05
11/1/1992,8.57
12/1/1992,7.11
1/1/1993,6.56
2/1/1993,5.84
3/1/1993,5.11
4/1/1993,5.34
5/1/1993,4.85
6/1/1993,4.54
7/1/1993,4.16
8/1/1993,4.74
9/1/1993,4.65
10/1/1993,4.38
11/1/1993,4.09
12/1/1993,3.86
1/1/1994,3.63
2/1/1994,3.85
3/1/1994,5.39
4/1/1994,5.82
5/1/1994,6.33
6/1/1994,6.67
7/1/1994,5.79
8/1/1994,5.35
9/1/1994,5.29
10/1/1994,5.37
11/1/1994,5.79
12/1/1994,7.18
1/1/1995,7.98
2/1/1995,7.77
3/1/1995,8.22
4/1/1995,7.92
5/1/1995,7.39
6/1/1995,6.72
7/1/1995,6.62
8/1/1995,6.34
9/1/1995,6.46
10/1/1995,5.93
11/1/1995,5.82
12/1/1995,5.54
1/1/1996,5.12
2/1/1996,5.18
3/1/1996,5.02
4/1/1996,4.73
5/1/1996,4.64
6/1/1996,4.69
7/1/1996,4.43
8/1/1996,4.03
9/1/1996,3.96
10/1/1996,3.19
11/1/1996,2.69
12/1/1996,2.8
1/1/1997,2.84
2/1/1997,2.86
3/1/1997,3.19
4/1/1997,3.14
5/1/1997,3
6/1/1997,2.86
7/1/1997,3.32
8/1/1997,3.13
9/1/1997,3.1
10/1/1997,3.63
11/1/1997,3.57
12/1/1997,4.46
1/1/1998,4.183
2/1/1998,4.571
3/1/1998,4.565
4/1/1998,4.825
5/1/1998,4.75
6/1/1998,4.882
7/1/1998,4.926
8/1/1998,4.876
9/1/1998,4.936
10/1/1998,4.744
11/1/1998,4.815
12/1/1998,4.697
1/1/1999,4.658
2/1/1999,4.835
3/1/1999,4.749
4/1/1999,4.601
5/1/1999,4.42
6/1/1999,4.622
7/1/1999,4.636
8/1/1999,4.834
9/1/1999,4.687
10/1/1999,4.85
11/1/1999,4.815
12/1/1999,4.93
1/1/2000,5.076
2/1/2000,5.051
3/1/2000,5.277
4/1/2000,5.449
5/1/2000,5.751
6/1/2000,5.551
7/1/2000,5.625
8/1/2000,5.622
9/1/2000,5.564
10/1/2000,5.619
11/1/2000,5.736
12/1/2000,5.557
1/1/2001,5.142
2/1/2001,4.804
3/1/2001,4.604
4/1/2001,4.41
5/1/2001,4.401
6/1/2001,4.242
7/1/2001,4.029
8/1/2001,3.805
9/1/2001,3.039
10/1/2001,2.54
11/1/2001,2.207
12/1/2001,2
1/1/2002,1.97
2/1/2002,2.07
3/1/2002,2.34
4/1/2002,2.41
5/1/2002,2.622
6/1/2002,2.738
7/1/2002,2.849
8/1/2002,2.996
9/1/2002,2.826
10/1/2002,2.805
11/1/2002,2.734
12/1/2002,2.669
1/1/2003,2.813
2/1/2003,2.861
3/1/2003,3.142
4/1/2003,3.241
5/1/2003,3.197
6/1/2003,3.127
7/1/2003,2.808
8/1/2003,2.7
9/1/2003,2.597
10/1/2003,2.651
11/1/2003,2.714
12/1/2003,2.59
1/1/2004,2.26
2/1/2004,2.133
3/1/2004,1.99
4/1/2004,1.944
5/1/2004,2.018
6/1/2004,2.042
7/1/2004,2.084
8/1/2004,2.14
9/1/2004,2.412
10/1/2004,2.583
11/1/2004,2.556
12/1/2004,2.477
1/1/2005,2.437
2/1/2005,2.464
3/1/2005,2.546
4/1/2005,2.461
5/1/2005,2.451
6/1/2005,2.473
7/1/2005,2.581
8/1/2005,2.758
9/1/2005,2.813
10/1/2005,3.025
11/1/2005,3.304
12/1/2005,3.4
1/1/2006,3.49
2/1/2006,3.71
3/1/2006,3.79
4/1/2006,3.97
5/1/2006,4.18
6/1/2006,4.3
7/1/2006,4.16
8/1/2006,4.13
9/1/2006,4.17
10/1/2006,4.17
11/1/2006,4.18
12/1/2006,4.16
1/1/2007,4.16
2/1/2007,4.18
3/1/2007,4.17
4/1/2007,4.17
5/1/2007,4.29
6/1/2007,4.42
7/1/2007,4.56
8/1/2007,4.01
9/1/2007,4.11
10/1/2007,3.97
11/1/2007,3.92
12/1/2007,3.86
1/1/2008,3.46
2/1/2008,3.24
3/1/2008,2.03
4/1/2008,2.7
5/1/2008,2.73
6/1/2008,2.69
7/1/2008,2.42
8/1/2008,2.52
9/1/2008,1.88
10/1/2008,2.22
11/1/2008,1.84
12/1/2008,0.95
1/1/2009,0.93
2/1/2009,0.8
3/1/2009,0.42
4/1/2009,0.25
5/1/2009,0.2
6/1/2009,0.24
7/1/2009,0.24
8/1/2009,0.24
9/1/2009,0.22
10/1/2009,0.23
11/1/2009,0.23
12/1/2009,0.2
1/1/2010,0.18
2/1/2010,0.17
3/1/2010,0.29
4/1/2010,0.4
5/1/2010,0.43
6/1/2010,0.58
7/1/2010,0.64
8/1/2010,0.69
9/1/2010,0.89
10/1/2010,0.92
11/1/2010,0.98
12/1/2010,1
1/1/2011,0.99
2/1/2011,0.97
3/1/2011,0.92
4/1/2011,0.98
5/1/2011,0.96
6/1/2011,0.92
7/1/2011,0.93
8/1/2011,0.93
9/1/2011,0.87
10/1/2011,0.87
11/1/2011,0.89
12/1/2011,0.83
1/1/2012,0.88
2/1/2012,0.94
3/1/2012,0.93
4/1/2012,1.04
5/1/2012,1.01
6/1/2012,0.9
7/1/2012,0.97
8/1/2012,1.03
9/1/2012,1
10/1/2012,1
11/1/2012,0.99
12/1/2012,0.98
1/1/2013,0.93
2/1/2013,0.96
3/1/2013,0.98
4/1/2013,0.99
5/1/2013,1
6/1/2013,1.02
7/1/2013,1.01
8/1/2013,1
9/1/2013,0.99
10/1/2013,0.92
11/1/2013,0.94
12/1/2013,0.89
1/1/2014,0.89
2/1/2014,0.87
3/1/2014,0.88
4/1/2014,0.94
5/1/2014,0.92
6/1/2014,0.93
7/1/2014,0.95
8/1/2014,0.94
9/1/2014,0.92
10/1/2014,0.88
11/1/2014,0.9
12/1/2014,0.91
1/1/2015,0.59
2/1/2015,0.47
3/1/2015,0.53
4/1/2015,0.65
5/1/2015,0.67
6/1/2015,0.58
7/1/2015,0.43
8/1/2015,0.38
9/1/2015,0.41
10/1/2015,0.39
11/1/2015,0.44
12/1/2015,0.5
1/1/2016,0.48
2/1/2016,0.46
3/1/2016,0.46
4/1/2016,0.54
5/1/2016,0.55
6/1/2016,0.49
7/1/2016,0.5
8/1/2016,0.51
9/1/2016,0.53
10/1/2016,0.5
11/1/2016,0.51
12/1/2016,0.47
1/1/2017,0.46
2/1/2017,0.48
3/1/2017,0.51
4/1/2017,0.55
